"open_time","open","high","low","close","volume","close_time"
"2025/12/11 19:00:00","463.63","467.24","456.9","457.93","139615.368","2025/12/11 19:59:59"
"2025/12/11 20:00:00","457.93","464.74","455.16","463.28","115205.344","2025/12/11 20:59:59"
"2025/12/11 21:00:00","463.33","469.68","458.1","459.18","143504.715","2025/12/11 21:59:59"
"2025/12/11 22:00:00","459.18","461.5","450.16","450.62","108438.847","2025/12/11 22:59:59"
"2025/12/11 23:00:00","450.64","459.99","448.23","450.45","146014.515","2025/12/11 23:59:59"
"2025/12/12 0:00:00","450.45","456.6","446.25","454.06","145646.577","2025/12/12 0:59:59"
"2025/12/12 1:00:00","454.08","462.65","454.08","459.1","142376.436","2025/12/12 1:59:59"
"2025/12/12 2:00:00","459.1","461.27","456.38","460.54","80302.12","2025/12/12 2:59:59"
"2025/12/12 3:00:00","460.55","461.44","454.04","460.78","91337.048","2025/12/12 3:59:59"
"2025/12/12 4:00:00","460.77","460.77","455.08","457.9","68931.872","2025/12/12 4:59:59"
"2025/12/12 5:00:00","457.91","458.65","453.12","454.91","70484.176","2025/12/12 5:59:59"
"2025/12/12 6:00:00","454.91","458.7","448.87","451.15","103598.155","2025/12/12 6:59:59"
"2025/12/12 7:00:00","451.15","460.84","448.63","457.69","123791.678","2025/12/12 7:59:59"
"2025/12/12 8:00:00","457.68","457.97","452.22","453.86","75083.694","2025/12/12 8:59:59"
"2025/12/12 9:00:00","453.86","454.18","450.1","453.72","74670.252","2025/12/12 9:59:59"
"2025/12/12 10:00:00","453.72","465","453.22","461.64","165580.522","2025/12/12 10:59:59"
"2025/12/12 11:00:00","461.64","463.33","450.12","453.52","151855.723","2025/12/12 11:59:59"
"2025/12/12 12:00:00","453.53","460.65","450.59","458.57","107977.4","2025/12/12 12:59:59"
"2025/12/12 13:00:00","458.57","462.72","455.29","457.75","120185.774","2025/12/12 13:59:59"
"2025/12/12 14:00:00","457.75","468","454.24","456.73","294350.4","2025/12/12 14:59:59"
"2025/12/12 15:00:00","456.69","461.23","451.3","456.56","303645.729","2025/12/12 15:59:59"
"2025/12/12 16:00:00","456.57","460","445.06","453.99","332105.287","2025/12/12 16:59:59"
"2025/12/12 17:00:00","454","456.28","449.45","454.65","132364.19","2025/12/12 17:59:59"
"2025/12/12 18:00:00","454.69","463.25","454.69","458.82","131655.025","2025/12/12 18:59:59"
"2025/12/12 19:00:00","458.83","459.72","453.57","454.49","79561.401","2025/12/12 19:59:59"
"2025/12/12 20:00:00","454.49","456.58","452","455.03","57126.915","2025/12/12 20:59:59"
"2025/12/12 21:00:00","454.98","461.29","454.59","456.84","66373.089","2025/12/12 21:59:59"
"2025/12/12 22:00:00","456.84","462","455.56","459.57","71701.796","2025/12/12 22:59:59"
"2025/12/12 23:00:00","459.58","464.66","454.37","454.6","110965.317","2025/12/12 23:59:59"
"2025/12/13 0:00:00","454.59","460.48","454.4","459.3","82318.6","2025/12/13 0:59:59"
"2025/12/13 1:00:00","459.3","460.68","455.8","456.1","73078.348","2025/12/13 1:59:59"
"2025/12/13 2:00:00","456.1","461.88","455.37","460.46","81039.679","2025/12/13 2:59:59"
"2025/12/13 3:00:00","460.46","464.94","459.26","463.71","70439.342","2025/12/13 3:59:59"
"2025/12/13 4:00:00","463.71","476.4","457.1","457.81","253619.969","2025/12/13 4:59:59"
"2025/12/13 5:00:00","457.82","469.27","456","467.86","168300.926","2025/12/13 5:59:59"
"2025/12/13 6:00:00","467.85","469.18","461.7","465.69","88688.456","2025/12/13 6:59:59"
"2025/12/13 7:00:00","465.7","467.68","463.03","464.59","67850.662","2025/12/13 7:59:59"
"2025/12/13 8:00:00","464.58","467.87","461.01","461.65","98870.375","2025/12/13 8:59:59"
"2025/12/13 9:00:00","461.65","464.36","446","451.03","308228.094","2025/12/13 9:59:59"
"2025/12/13 10:00:00","451.03","459.3","449","450.99","149938.483","2025/12/13 10:59:59"
"2025/12/13 11:00:00","451","451.01","442.85","445.42","184214.335","2025/12/13 11:59:59"
"2025/12/13 12:00:00","445.42","447.35","427.33","436.47","279100.627","2025/12/13 12:59:59"
"2025/12/13 13:00:00","436.46","438.8","429.86","430.5","152765.738","2025/12/13 13:59:59"
"2025/12/13 14:00:00","430.51","432.78","422.26","423.99","229443.815","2025/12/13 14:59:59"
"2025/12/13 15:00:00","423.97","443","423.84","441.07","355121.52","2025/12/13 15:59:59"
"2025/12/13 16:00:00","441.07","443.45","431.64","434.63","201313.149","2025/12/13 16:59:59"
"2025/12/13 17:00:00","434.62","435.19","426.73","433.23","144427.099","2025/12/13 17:59:59"
"2025/12/13 18:00:00","433.23","439.67","431.17","435.99","82542.641","2025/12/13 18:59:59"
"2025/12/13 19:00:00","435.99","438.58","432.8","433.79","57979.324","2025/12/13 19:59:59"
"2025/12/13 20:00:00","433.8","437.15","428.72","430.82","73639.574","2025/12/13 20:59:59"
"2025/12/13 21:00:00","430.82","435.24","428.15","434.69","64605.545","2025/12/13 21:59:59"
"2025/12/13 22:00:00","434.69","437.52","429.72","435.7","52315.979","2025/12/13 22:59:59"
"2025/12/13 23:00:00","435.7","445.1","434.55","442.77","120887.55","2025/12/13 23:59:59"
"2025/12/14 0:00:00","442.78","443.92","440.43","441.66","64009.749","2025/12/14 0:59:59"
"2025/12/14 1:00:00","441.66","442.66","438.25","438.67","50274.107","2025/12/14 1:59:59"
"2025/12/14 2:00:00","438.68","440.47","434.45","439.87","58746.797","2025/12/14 2:59:59"
"2025/12/14 3:00:00","439.88","442.85","436.43","438.06","60085.166","2025/12/14 3:59:59"
"2025/12/14 4:00:00","438.05","438.32","431.3","433.01","77484.86","2025/12/14 4:59:59"
"2025/12/14 5:00:00","433","434.83","425.88","427.7","115681.507","2025/12/14 5:59:59"
"2025/12/14 6:00:00","427.69","428","419.1","425.64","179504.082","2025/12/14 6:59:59"
"2025/12/14 7:00:00","425.64","426.66","419.99","423.37","86352.76","2025/12/14 7:59:59"
"2025/12/14 8:00:00","423.38","426.26","419.04","422.24","117480.45","2025/12/14 8:59:59"
"2025/12/14 9:00:00","422.24","424.77","421","422.87","61009.868","2025/12/14 9:59:59"
"2025/12/14 10:00:00","422.85","431.4","421.74","429.88","138123.434","2025/12/14 10:59:59"
"2025/12/14 11:00:00","429.89","430.9","423.26","426.43","116697.315","2025/12/14 11:59:59"
"2025/12/14 12:00:00","426.42","429.36","423.39","425.04","105286.626","2025/12/14 12:59:59"
"2025/12/14 13:00:00","425.05","425.21","411.76","413.71","228259.55","2025/12/14 13:59:59"
"2025/12/14 14:00:00","413.71","415.2","397.51","402.25","373024.363","2025/12/14 14:59:59"
"2025/12/14 15:00:00","402.24","405.9","400.37","403.18","157374.237","2025/12/14 15:59:59"
"2025/12/14 16:00:00","403.17","409.53","401.89","407.45","127108.068","2025/12/14 16:59:59"
"2025/12/14 17:00:00","407.45","409.7","405.02","406.81","84077.314","2025/12/14 17:59:59"
"2025/12/14 18:00:00","406.81","409.18","400.29","405.05","95922.032","2025/12/14 18:59:59"
"2025/12/14 19:00:00","405.05","409.55","402.48","406.91","71098.199","2025/12/14 19:59:59"
"2025/12/14 20:00:00","406.92","408.08","403.64","403.85","41266.995","2025/12/14 20:59:59"
"2025/12/14 21:00:00","403.84","407.56","403.58","405.18","33017.448","2025/12/14 21:59:59"
"2025/12/14 22:00:00","405.17","406.39","395.43","400.8","89747.798","2025/12/14 22:59:59"
"2025/12/14 23:00:00","400.79","408.13","396","404.05","129772.923","2025/12/14 23:59:59"
"2025/12/15 0:00:00","404.05","406.98","400.08","405.07","111503.728","2025/12/15 0:59:59"
"2025/12/15 1:00:00","405.06","418.28","402.8","415.6","204749.541","2025/12/15 1:59:59"
"2025/12/15 2:00:00","415.6","415.6","401.01","401.19","169186.507","2025/12/15 2:59:59"
"2025/12/15 3:00:00","401.2","405.58","391.03","400.98","322394.541","2025/12/15 3:59:59"
"2025/12/15 4:00:00","400.98","404.19","397.74","402.32","83705.571","2025/12/15 4:59:59"
"2025/12/15 5:00:00","402.31","408.95","401.46","407.3","105955.896","2025/12/15 5:59:59"
"2025/12/15 6:00:00","407.3","412.57","404.58","408.38","129288.048","2025/12/15 6:59:59"
"2025/12/15 7:00:00","408.35","409.44","400.4","402.42","126121.294","2025/12/15 7:59:59"
"2025/12/15 8:00:00","402.41","404.73","401.32","403.81","76948.385","2025/12/15 8:59:59"
"2025/12/15 9:00:00","403.81","410.75","403.28","409.71","90642.738","2025/12/15 9:59:59"
"2025/12/15 10:00:00","409.71","411.79","406.66","407.71","78639.652","2025/12/15 10:59:59"
"2025/12/15 11:00:00","407.7","412.14","407.1","410.58","65986.599","2025/12/15 11:59:59"
"2025/12/15 12:00:00","410.59","415.34","408.92","411.46","106490.515","2025/12/15 12:59:59"
"2025/12/15 13:00:00","411.46","411.88","403.06","407.96","134807.269","2025/12/15 13:59:59"
"2025/12/15 14:00:00","407.94","414.68","406","407.7","195015.007","2025/12/15 14:59:59"
"2025/12/15 15:00:00","407.69","417.77","404.9","413.98","347812.953","2025/12/15 15:59:59"
"2025/12/15 16:00:00","413.98","416.96","408.43","411.33","167991.525","2025/12/15 16:59:59"
"2025/12/15 17:00:00","411.34","416.67","406.3","407.01","135606.993","2025/12/15 17:59:59"
"2025/12/15 18:00:00","407.06","414.45","386.1","411.7","465327.896","2025/12/15 18:59:59"
"2025/12/15 19:00:00","411.79","414.36","406.48","408.35","119031.121","2025/12/15 19:59:59"
"2025/12/15 20:00:00","408.36","410.53","396.31","396.92","134322.874","2025/12/15 20:59:59"
"2025/12/15 21:00:00","396.93","409.72","395.21","409.7","103937.438","2025/12/15 21:59:59"
"2025/12/15 22:00:00","409.7","414.82","406.66","412.4","91935.766","2025/12/15 22:59:59"
"2025/12/15 23:00:00","412.41","414.72","410.56","413.31","62224.223","2025/12/15 23:59:59"
"2025/12/16 0:00:00","413.31","416.66","403.24","404.72","131594.277","2025/12/16 0:59:59"
"2025/12/16 1:00:00","404.73","407.18","401","403.03","90342.137","2025/12/16 1:59:59"
