pair,open_date,close_date,side,entry_tag,profit_abs,profit_ratio,duration,open_rate,close_rate,is_short,stake_amount,max_open_trades_config
SUI/USDT:USDT,2026-03-22 00:00:00+00:00,2026-03-23 15:00:00+00:00,short,short_pullback_restart,-11.54502202,-0.040449139414528636,2340,0.9323,0.969,True,285.56349,4
XRP/USDT:USDT,2026-03-24 17:00:00+00:00,2026-03-25 11:00:00+00:00,short,short_compression_breakdown,-11.26849029,-0.0336830688881093,1080,1.39,1.4353,True,334.712,4
ETH/USDT:USDT,2026-03-27 11:00:00+00:00,2026-03-30 11:00:00+00:00,short,short_pullback_restart,-6.3365083,-0.04685682737947602,4320,1989.69,2080.02,True,135.29892,4
BTC/USDT:USDT,2026-03-27 09:00:00+00:00,2026-03-30 13:00:00+00:00,short,short_compression_breakdown,-0.39065342,-0.0009597030213662201,4560,67876.7,67859.4,True,407.2602,4
ADA/USDT:USDT,2026-03-27 09:00:00+00:00,2026-04-01 07:00:00+00:00,short,short_compression_breakdown,-0.62098195,-0.0012982868934739026,7080,0.252,0.2519,True,478.548,4
NEAR/USDT:USDT,2026-04-02 02:00:00+00:00,2026-04-03 08:00:00+00:00,short,short_pullback_restart,-10.20038422,-0.0409513541329872,1800,1.17,1.217,True,249.21,4
XRP/USDT:USDT,2026-03-26 06:00:00+00:00,2026-04-06 08:00:00+00:00,short,short_pullback_restart,12.37170014,0.029354139318256624,15960,1.388,1.3437,True,421.6744,4
BNB/USDT:USDT,2026-04-01 14:00:00+00:00,2026-04-06 15:00:00+00:00,short,short_pullback_restart,2.78599269,0.0055601473547811755,7260,611.36,607.38,True,501.3152,4
ADA/USDT:USDT,2026-04-13 00:00:00+00:00,2026-04-13 12:00:00+00:00,short,short_compression_breakdown,-11.45257718,-0.02426210147031134,720,0.2359,0.2413,True,472.2718,4
BTC/USDT:USDT,2026-04-18 00:00:00+00:00,2026-04-18 18:00:00+00:00,long,long_1d_center_compression,-9.61008214,-0.02078238929345367,1080,77030.6,75490.0,False,462.1836,4
TAO/USDT:USDT,2026-04-30 15:00:00+00:00,2026-05-01 03:00:00+00:00,short,short_compression_breakdown,-7.94145092,-0.019683787052390288,720,247.64,252.29,True,403.6532,4
SOL/USDT:USDT,2026-05-23 08:00:00+00:00,2026-05-23 20:00:00+00:00,short,short_compression_breakdown,-10.04743319,-0.04063374516186607,720,82.19,85.41,True,247.3919,4
XRP/USDT:USDT,2026-05-22 07:00:00+00:00,2026-05-25 09:00:00+00:00,short,short_pullback_restart,-0.16637823,-0.00033656071876406423,4440,1.3599,1.3587,True,494.59563,4
XRP/USDT:USDT,2026-05-25 23:00:00+00:00,2026-05-30 01:00:00+00:00,short,short_pullback_restart,-0.47265382,-0.0009631597461991604,5880,1.3481,1.3479,True,490.97802,4
DOGE/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-01 03:00:00+00:00,short,short_pullback_restart,-6.67476176,-0.01585593363839962,720,0.09997,0.10146,True,421.17361,4
SOL/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-02 22:00:00+00:00,short,short_pullback_restart,49.03305532,0.09997453460857621,3300,81.92,73.67,True,490.7008,4
ADA/USDT:USDT,2026-05-31 15:00:00+00:00,2026-06-02 23:00:00+00:00,short,short_pullback_restart,49.02274054,0.09994425666889738,3360,0.2338,0.2102,True,490.7462,4
ETH/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-05 16:00:00+00:00,short,short_pullback_restart,28.00467882,0.10000165665062154,780,1729.52,1554.84,True,280.18224,4
XRP/USDT:USDT,2026-06-03 20:00:00+00:00,2026-06-05 18:00:00+00:00,short,short_pullback_restart,28.08129681,0.0999939121101522,2760,1.2033,1.0814,True,280.97055,4
LINK/USDT:USDT,2026-06-05 03:00:00+00:00,2026-06-06 04:00:00+00:00,short,short_pullback_restart,24.33760031,0.09998612581187143,1500,7.798,7.012,True,243.53154,4
BTC/USDT:USDT,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,short,short_pullback_restart,-10.8094404,-0.029402379258000075,120,61303.7,63043.1,True,367.8222,4
LINK/USDT:USDT,2026-06-07 20:00:00+00:00,2026-06-07 22:00:00+00:00,short,short_pullback_restart,-12.08812615,-0.0370001230360932,120,7.591,7.864,True,326.86846,4
BNB/USDT:USDT,2026-06-05 06:00:00+00:00,2026-06-08 07:00:00+00:00,short,short_pullback_restart,-4.76299289,-0.020371120933744116,4380,584.82,596.2,True,233.928,4
SOL/USDT:USDT,2026-06-10 09:00:00+00:00,2026-06-11 11:00:00+00:00,short,short_compression_breakdown,-11.66975298,-0.035588414447609476,1560,63.58,65.77,True,328.0728,4
BTC/USDT:USDT,2026-06-09 14:00:00+00:00,2026-06-11 17:00:00+00:00,short,short_pullback_restart,-11.26254354,-0.02262889840052761,3060,62244.4,63592.2,True,497.9552,4
DOGE/USDT:USDT,2026-06-09 16:00:00+00:00,2026-06-11 18:00:00+00:00,short,short_pullback_restart,-11.86828936,-0.03423221938587352,3000,0.08407,0.08688,True,346.87282,4
ETH/USDT:USDT,2026-06-09 15:00:00+00:00,2026-06-12 16:00:00+00:00,short,short_pullback_restart,-3.44753398,-0.009891172027490213,4380,1644.91,1658.98,True,348.72092,4
ADA/USDT:USDT,2026-06-17 09:00:00+00:00,2026-06-18 00:00:00+00:00,short,short_compression_breakdown,3.10275847,0.011458589410549471,900,0.1689,0.1668,True,270.9156,4
